lat&lon,name,rating,reviews,price,address,distance_on_yelp
48.865983_2.275725,La Coïncidence,4.5,509,2.0,15 rue Mesnil,675.0
48.865983_2.275725,Le Poincaré,4.0,150,2.0,22 avenue Raymond Poincaré,796.0
48.865983_2.275725,Crêperie Framboise Passy-Trocadéro,4.5,65,2.0,10 bd Delessert,1046.0
48.865983_2.275725,Sgabetti,4.5,40,2.0,15 rue Sablons,581.0
48.865983_2.275725,L'Astrance,4.5,64,4.0,4 rue Beethoven,1194.0
48.865983_2.275725,Frog XVI,3.5,88,2.0,110 bis avenue Kléber,922.0
48.865983_2.275725,Girafe,3.5,126,4.0,1 place du Trocadéro,1014.0
48.865983_2.275725,Bon,4.0,120,4.0,25 rue de la Pompe,647.0
48.865983_2.275725,Schwartz's Deli,3.5,64,2.0,7 avenue d'Eylau,764.0
48.865983_2.275725,Le Petit Rétro,4.0,38,3.0,5 Rue Mesnil,736.0
48.865983_2.275725,Baāgaā,4.5,34,2.0,54 rue de Longchamp,856.0
48.865983_2.275725,Hiramatsu,4.5,32,4.0,52 rue de Longchamp,868.0
48.865983_2.275725,Ozio,4.5,100,2.0,29 bis rue St Didier,722.0
48.865983_2.275725,Corso,4.0,39,2.0,79 avenue Kléber,979.0
48.865983_2.275725,Le Pergolèse,4.5,48,2.0,40 rue Pergolèse,1072.0
48.865983_2.275725,Le Stella,4.0,79,3.0,133 avenue Victor Hugo,404.0
48.865983_2.275725,Le Paris 16,4.0,37,3.0,18 rue des Belles Feuilles,484.0
48.865983_2.275725,La Petite Tour,4.5,22,3.0,11 rue de la Tour,937.0
48.865983_2.275725,Le Chalet,4.0,9,3.0,63 rue de la Pompe,338.0
48.865983_2.275725,Café de l'Homme,3.0,118,3.0,17 place du Trocadero,967.0
48.85375581057431_2.3390958085656166,L'Avant Comptoir,4.5,656,2.0,3 carrefour de l'Odéon,194.0
48.85375581057431_2.3390958085656166,Le Comptoir,4.0,453,3.0,9 carrefour de l'Odeon,203.0
48.85375581057431_2.3390958085656166,Fish la Boissonnerie,4.5,137,3.0,69 rue de Seine,159.0
48.85375581057431_2.3390958085656166,Chez Fernand,4.5,230,3.0,9 rue Christine,100.0
48.85375581057431_2.3390958085656166,Ippudo Saint-Germain,4.0,113,2.0,14 rue Grégoire de Tours,120.0
48.85375581057431_2.3390958085656166,Semilla,4.0,107,3.0,54 Rue Seine,163.0
48.85375581057431_2.3390958085656166,Le Procope,3.5,332,3.0,13 rue de l'Ancienne Comédie,84.0
48.85375581057431_2.3390958085656166,Huitrerie Régis,4.5,100,3.0,3 rue de Montfaucon,251.0
48.85375581057431_2.3390958085656166,Kodawari Ramen,4.0,95,2.0,29 rue Mazarine,123.0
48.85375581057431_2.3390958085656166,Le Bistrot d'Henri,4.5,135,3.0,16 rue Princesse,390.0
48.85375581057431_2.3390958085656166,Guy Savoy,4.5,91,4.0,Monnaie de Paris,383.0
48.85375581057431_2.3390958085656166,Huguette,4.0,68,2.0,81 rue de Seine,160.0
48.85375581057431_2.3390958085656166,Fajitas,4.0,164,2.0,15 rue Dauphine,216.0
48.85375581057431_2.3390958085656166,Le Christine,4.0,89,3.0,1 rue Christine,108.0
48.85375581057431_2.3390958085656166,L'Epigramme,4.5,34,3.0,9 rue de l'Eperon,178.0
48.85375581057431_2.3390958085656166,Bistro des Augustins,4.5,483,2.0,39 quai des Grands Augustins,247.0
48.85375581057431_2.3390958085656166,BREIZH Café Odéon | La Crêpe Autrement,4.5,70,2.0,1 rue de l'Odéon,242.0
48.85375581057431_2.3390958085656166,The Moose,4.0,231,2.0,16 rue des Quatre Vents,234.0
48.85375581057431_2.3390958085656166,La Jacobine,4.5,347,3.0,59-61 rue Saint-André des Arts,58.0
48.85375581057431_2.3390958085656166,Les Antiquaires,4.5,465,3.0,13 rue du Bac,928.0
48.867872484749_2.3648982158072,L'Aller Retour,4.5,81,3.0,5 rue Charles François Dupuis,308.0
48.867872484749_2.3648982158072,Inaro,4.5,85,2.0,38 rue René Boulanger,278.0
48.867872484749_2.3648982158072,L'îlot,4.5,66,2.0,4 rue de la Corderie,363.0
48.867872484749_2.3648982158072,Lavomatic,4.0,78,2.0,30 rue René Boulanger,222.0
48.867872484749_2.3648982158072,Les Parigots,4.0,81,2.0,5 rue Château d'eau,272.0
48.867872484749_2.3648982158072,The Beast,4.0,86,3.0,27 rue Meslay,383.0
48.867872484749_2.3648982158072,Co Ba Saigon,5.0,23,,48 boulevard du Temple,218.0
48.867872484749_2.3648982158072,Ober Mamma,4.5,307,2.0,107 boulevard Richard Lenoir,539.0
48.867872484749_2.3648982158072,Chez Imogène,4.5,106,2.0,25 rue Jean Pierre Timbaud,379.0
48.867872484749_2.3648982158072,Ossek Garden,4.0,95,2.0,14 rue Rampon,286.0
48.867872484749_2.3648982158072,La Marine,3.5,136,2.0,55bis quai de Valmy,305.0
48.867872484749_2.3648982158072,Soya,4.0,176,3.0,20 rue de la Pierre Levée,387.0
48.867872484749_2.3648982158072,Assanabel,4.5,82,2.0,6 rue Pierre Chausson,434.0
48.867872484749_2.3648982158072,Shake n' Smash,4.5,35,2.0,87 rue de Turbigo,299.0
48.867872484749_2.3648982158072,Siseng,4.5,161,2.0,82 quai de Jemmapes,492.0
48.867872484749_2.3648982158072,L'Epicerie Musicale,4.5,29,2.0,55 bis quai de Valmy,312.0
48.867872484749_2.3648982158072,Chameleon,4.5,41,3.0,70 Rue René Boulanger,517.0
48.867872484749_2.3648982158072,Pierre Sang on Gambey,4.5,55,3.0,6 rue Gambey,623.0
48.867872484749_2.3648982158072,Pramil,4.0,89,3.0,9 rue Vertbois,468.0
48.867872484749_2.3648982158072,Le Bichat,4.5,80,2.0,11 rue Bichat,372.0
48.856451985395786_2.334851883351803,Le Comptoir de la Gastronomie,4.5,1292,2.0,34 rue Montmartre,1183.0
48.856451985395786_2.334851883351803,Fish la Boissonnerie,4.5,137,3.0,69 rue de Seine,294.0
48.856451985395786_2.334851883351803,Guy Savoy,4.5,91,4.0,Monnaie de Paris,286.0
48.856451985395786_2.334851883351803,Le Calife,4.5,101,4.0,Port des Saints Pères,208.0
48.856451985395786_2.334851883351803,Semilla,4.0,107,3.0,54 Rue Seine,306.0
48.856451985395786_2.334851883351803,Les Antiquaires,4.5,465,3.0,13 rue du Bac,516.0
48.856451985395786_2.334851883351803,Galette Café,4.5,114,2.0,2 rue de l'Université,235.0
48.856451985395786_2.334851883351803,Le Relais de l'Entrecôte,4.0,513,3.0,20 rue Saint Benoît,242.0
48.856451985395786_2.334851883351803,Chez Fernand,4.5,230,3.0,9 rue Christine,399.0
48.856451985395786_2.334851883351803,L'Avant Comptoir,4.5,656,2.0,3 carrefour de l'Odéon,574.0
48.856451985395786_2.334851883351803,Le Bistrot d'Henri,4.5,135,3.0,16 rue Princesse,489.0
48.856451985395786_2.334851883351803,Huitrerie Régis,4.5,100,3.0,3 rue de Montfaucon,418.0
48.856451985395786_2.334851883351803,Le Restaurant,4.5,36,4.0,13 rue des Beaux-Arts,31.0
48.856451985395786_2.334851883351803,Assanabel,4.5,23,2.0,38 rue Jacob,115.0
48.856451985395786_2.334851883351803,Fajitas,4.0,164,2.0,15 rue Dauphine,395.0
48.856451985395786_2.334851883351803,Kodawari Ramen,4.0,95,2.0,29 rue Mazarine,312.0
48.856451985395786_2.334851883351803,Chez Papa Jazz Club,4.5,48,3.0,3 rue Saint-Benoît,155.0
48.856451985395786_2.334851883351803,Le Bistro du Périgord,4.5,377,3.0,71 rue Saint-Jacques,1055.0
48.856451985395786_2.334851883351803,Huguette,4.0,68,2.0,81 rue de Seine,387.0
48.856451985395786_2.334851883351803,Ladurée,4.0,318,3.0,21 rue Bonaparte,110.0
48.87929591733507_2.3373600840568547,Pink Mamma,4.0,404,3.0,20 bis rue de Douai,359.0
48.87929591733507_2.3373600840568547,Buvette Gastrothèque,4.0,129,2.0,28 rue Henri Monnier,129.0
48.87929591733507_2.3373600840568547,Le Pantruche,4.5,78,3.0,3 rue Victor Massé,245.0
48.87929591733507_2.3373600840568547,La Table des Anges,4.5,32,3.0,66 rue des Martyrs,277.0
48.87929591733507_2.3373600840568547,Le Bon Georges,4.5,62,3.0,45 rue Saint-Georges,183.0
48.87929591733507_2.3373600840568547,Al Caratello,4.5,229,2.0,5 rue Audran,669.0
48.87929591733507_2.3373600840568547,Les Canailles,4.5,35,3.0,25 Rue La Bruyère,203.0
48.87929591733507_2.3373600840568547,le 23 Clauzel,4.0,28,3.0,23 rue Clauzel,15.0
48.87929591733507_2.3373600840568547,Puce,5.0,15,2.0,1 rue Chaptal,237.0
48.87929591733507_2.3373600840568547,The Frog & Underground,4.5,45,2.0,176 rue Montmartre,1005.0
48.87929591733507_2.3373600840568547,Lulu White,4.5,82,2.0,12 rue Frochot,263.0
48.87929591733507_2.3373600840568547,ASPIC,5.0,28,4.0,24 rue de la Tour d'Auvergne,462.0
48.87929591733507_2.3373600840568547,Ito Izakaya,4.0,25,3.0,4 rue Pierre Fontaine,222.0
48.87929591733507_2.3373600840568547,Clasico Argentino,4.0,19,2.0,22 rue Henry Monnier,123.0
48.87929591733507_2.3373600840568547,Pi Hour,4.0,26,2.0,32 rue de la Rochefoucauld,189.0
48.87929591733507_2.3373600840568547,Bouillon Pigalle,3.5,124,2.0,22 boulevard Clichy,373.0
48.87929591733507_2.3373600840568547,Yoom,3.5,62,3.0,20 Rue Martyrs,230.0
48.87929591733507_2.3373600840568547,La Boîte aux Lettres,5.0,51,3.0,108 rue Lepic,840.0
48.87929591733507_2.3373600840568547,Chez Delphine,5.0,9,,48 rue Saint-Georges,230.0
48.87929591733507_2.3373600840568547,Bar Italia Brasserie,5.0,61,3.0,22 rue Moncey,587.0
48.855907555969_2.3925706744194,Clamato,4.5,98,3.0,80 rue Charonne,930.0
48.855907555969_2.3925706744194,L'Echoppe de Paris,4.5,51,2.0,16 rue Léon Frot,399.0
48.855907555969_2.3925706744194,Fulgurances l'Adresse,4.5,22,4.0,10 rue Alexandre Dumas,386.0
48.855907555969_2.3925706744194,Le Piston Pelican,4.0,24,2.0,15 rue de Bagnolet,242.0
48.855907555969_2.3925706744194,Septime,4.5,151,4.0,80 rue de Charonne,910.0
48.855907555969_2.3925706744194,Waly-Fay,4.0,91,3.0,6 rue Godefroy Cavaignac,812.0
48.855907555969_2.3925706744194,Louie Louie,4.5,46,2.0,78 rue de Charonne,932.0
48.855907555969_2.3925706744194,Cimetière du Père Lachaise,4.5,259,,16 rue du Repos,458.0
48.855907555969_2.3925706744194,Auciel,4.5,40,2.0,97 rue de Charonne,679.0
48.855907555969_2.3925706744194,La Table de Claire,4.0,10,,30 rue Emile Lepeu,304.0
48.855907555969_2.3925706744194,Chez Troquette,5.0,13,2.0,1 rue Saint-Maur,737.0
48.855907555969_2.3925706744194,Les Mondes Bohèmes,4.0,51,2.0,31 rue des Vignoles,545.0
48.855907555969_2.3925706744194,L'Ebauchoir,4.0,128,3.0,43-45 rue de Citeaux,1074.0
48.855907555969_2.3925706744194,Le Siffleur de Ballons,4.5,45,2.0,34 rue de Citeaux,1086.0
48.855907555969_2.3925706744194,Café d'Albert,5.0,4,2.0,109 boulevard de Charonne,130.0
48.855907555969_2.3925706744194,La Fine Mousse,4.5,100,2.0,6 avenue Jean Aicard,1269.0
48.855907555969_2.3925706744194,L'Armagnac,4.0,38,2.0,104 rue Charonne,584.0
48.855907555969_2.3925706744194,Casa Botticelli,4.0,15,2.0,142 Boulevard Charonne,160.0
48.855907555969_2.3925706744194,Balls,4.0,48,2.0,47 rue Saint-Maur,1111.0
48.855907555969_2.3925706744194,Le Ciel,4.5,7,3.0,17 rue Alexandre Dumas,339.0
48.840855311763_2.3875549435616,Le Touareg,4.5,11,2.0,228 rue Charenton,146.0
48.840855311763_2.3875549435616,Bar & Beer Bercy,4.5,9,1.0,4 rue du Charolais,160.0
48.840855311763_2.3875549435616,L'Alchimiste,4.0,46,3.0,181 rue de Charenton,299.0
48.840855311763_2.3875549435616,Il Goto,4.0,10,3.0,212 bis rue de Charenton,21.0
48.840855311763_2.3875549435616,Le Janissaire,4.0,83,2.0,22-24 allée Vivaldi,320.0
48.840855311763_2.3875549435616,Les Caves de Reuilly,4.5,11,2.0,11 boulevard de Reuilly,285.0
48.840855311763_2.3875549435616,La Feria,4.0,41,3.0,25 Rue Montgallet,334.0
48.840855311763_2.3875549435616,Le Calbar,4.5,100,2.0,82 rue de Charenton,1220.0
48.840855311763_2.3875549435616,L'Auberge Aveyronnaise,4.0,115,2.0,40 Rue Gabriel Lamé,686.0
48.840855311763_2.3875549435616,Yeko,4.0,27,2.0,154 ave Daumesnil,366.0
48.840855311763_2.3875549435616,L'Encrier,4.0,64,2.0,55 rue Traversière,1289.0
48.840855311763_2.3875549435616,L'Ebauchoir,4.0,128,3.0,43-45 rue de Citeaux,1106.0
48.840855311763_2.3875549435616,Le Siffleur de Ballons,4.5,45,2.0,34 rue de Citeaux,1084.0
48.840855311763_2.3875549435616,Chez Julia et Ryan,5.0,1,,40 rue Baulant,35.0
48.840855311763_2.3875549435616,Le Lys d'Or,4.0,60,3.0,2 rue Chaligny,596.0
48.840855311763_2.3875549435616,Les Jardins de Mandchourie,4.0,42,2.0,32-34 allée Vivaldi,231.0
48.840855311763_2.3875549435616,Le Baron Rouge,4.5,80,2.0,1 rue Théophile Roussel,1218.0
48.840855311763_2.3875549435616,Maguey,4.5,21,3.0,99 rue de Charenton,1048.0
48.840855311763_2.3875549435616,Chez Prosper,3.5,280,2.0,7 avenue du Trône,1164.0
48.840855311763_2.3875549435616,Le Village Corse,4.0,5,,38 Allée Vivaldi,201.0
48.85129643366528_2.325061820447445,Les Antiquaires,4.5,465,3.0,13 rue du Bac,788.0
48.85129643366528_2.325061820447445,La Petite Chaise,4.0,75,3.0,36 rue Grenelle,330.0
48.85129643366528_2.325061820447445,L'Epi Dupin,4.0,117,3.0,11 rue Dupin,170.0
48.85129643366528_2.325061820447445,Guy Savoy,4.5,91,4.0,Monnaie de Paris,1188.0
48.85129643366528_2.325061820447445,Eggs & Co,4.5,383,2.0,11 rue Bernard Palissy,496.0
48.85129643366528_2.325061820447445,L'Atelier de Joël Robuchon,4.0,401,4.0,5 rue de Montalembert,646.0
48.85129643366528_2.325061820447445,Le Bistrot d'Henri,4.5,135,3.0,16 rue Princesse,691.0
48.85129643366528_2.325061820447445,Le Calife,4.5,101,4.0,Port des Saints Pères,1050.0
48.85129643366528_2.325061820447445,Fish la Boissonnerie,4.5,137,3.0,69 rue de Seine,937.0
48.85129643366528_2.325061820447445,Semilla,4.0,107,3.0,54 Rue Seine,920.0
48.85129643366528_2.325061820447445,Le Relais de l'Entrecôte,4.0,513,3.0,20 rue Saint Benoît,686.0
48.85129643366528_2.325061820447445,Villa Medici da Napoli,3.5,30,2.0,11 bis rue Saint-Placide,187.0
48.85129643366528_2.325061820447445,L'Arpège,4.0,230,4.0,84 rue de Varenne,771.0
48.85129643366528_2.325061820447445,Le Cherche Midi,3.5,44,3.0,22 rue du Cherche Midi,193.0
48.85129643366528_2.325061820447445,Le Pain Quotidien,4.0,62,2.0,25 rue de Varenne,281.0
48.85129643366528_2.325061820447445,Aux Prés,4.0,65,3.0,27 rue du Dragon,430.0
48.85129643366528_2.325061820447445,Chez Fernand,4.0,82,3.0,13 rue Guisarde,687.0
48.85129643366528_2.325061820447445,Noglu,4.5,37,,69 rue de Grenelle,426.0
48.85129643366528_2.325061820447445,Huitrerie Régis,4.5,100,3.0,3 rue de Montfaucon,817.0
48.85129643366528_2.325061820447445,Galette Café,4.5,114,2.0,2 rue de l'Université,746.0
48.851518815017_2.3436703160405,Le Bistro du Périgord,4.5,377,3.0,71 rue Saint-Jacques,219.0
48.851518815017_2.3436703160405,Shiso Burger,4.5,94,2.0,21 quai Saint-Michel,233.0
48.851518815017_2.3436703160405,L'Avant Comptoir,4.5,656,2.0,3 carrefour de l'Odéon,356.0
48.851518815017_2.3436703160405,Le Porte Pot,4.5,134,2.0,14 rue Boutebrie,53.0
48.851518815017_2.3436703160405,Au Père Louis,4.0,268,2.0,38 rue Monsieur le Prince,374.0
48.851518815017_2.3436703160405,Le Petit Châtelet,4.0,146,3.0,39 rue de la Bûcherie,274.0
48.851518815017_2.3436703160405,Loulou,4.0,161,2.0,90 boulevard Saint-Germain,91.0
48.851518815017_2.3436703160405,Le Comptoir,4.0,453,3.0,9 carrefour de l'Odeon,363.0
48.851518815017_2.3436703160405,L'Epigramme,4.5,34,3.0,9 rue de l'Eperon,245.0
48.851518815017_2.3436703160405,Sourire,4.5,32,3.0,27 rue Galande,295.0
48.851518815017_2.3436703160405,Shakespeare and Company,4.5,341,2.0,37 rue de la Bûcherie,272.0
48.851518815017_2.3436703160405,Maison de la Lozère,4.5,34,3.0,4 rue Hautefeuille,131.0
48.851518815017_2.3436703160405,Chez Fernand,4.5,230,3.0,9 rue Christine,458.0
48.851518815017_2.3436703160405,Bouillon Racine,3.5,159,3.0,3 rue Racine,186.0
48.851518815017_2.3436703160405,Guy Savoy,4.5,91,4.0,Monnaie de Paris,731.0
48.851518815017_2.3436703160405,La Maison Blanche,3.5,50,2.0,21 rue de la Huchette,211.0
48.851518815017_2.3436703160405,Les Papilles,4.5,259,3.0,30 rue Gay-Lussac,789.0
48.851518815017_2.3436703160405,Odette,4.5,93,2.0,77 rue Galande,216.0
48.851518815017_2.3436703160405,Mulberry Street,4.5,13,,20 rue de la Huchette,231.0
48.851518815017_2.3436703160405,Le Petit Prince de Paris,4.0,222,3.0,12 rue de Lanneau,402.0
48.881973298352_2.301132157445,Le Hide,4.5,241,3.0,10 Rue Gén Lanrezac,818.0
48.881973298352_2.301132157445,Maison Rostang,4.5,57,4.0,20 rue Rennequin,203.0
48.881973298352_2.301132157445,Le Bistrot d'à Côté Flaubert,4.0,26,3.0,10 rue Gustave Flaubert,184.0
48.881973298352_2.301132157445,Il Etait une Oie dans le Sud Ouest,4.5,41,3.0,8 Rue Gustave Flaubert,160.0
48.881973298352_2.301132157445,Les Messugues,4.5,13,3.0,8 rue Léon Jost,258.0
48.881973298352_2.301132157445,Schwartz's Deli,4.0,55,2.0,22 avenue Niel,450.0
48.881973298352_2.301132157445,Coretta,4.5,42,3.0,151bis rue Cardinet,606.0
