lat&lon,name_x,address,distance,name_y,rating,reviews,distance_on_yelp
48.865983_2.275725,Bon,25 rue de la Pompe,638,Bon,4.0,120,647.0
48.865983_2.275725,Le Paris 16,18 rue des Belles Feuilles,493,Le Paris 16,4.0,37,484.0
48.865983_2.275725,Schwartz's,7 avenue d'Eylau,765,Schwartz's Deli,3.5,64,764.0
48.85375581057431_2.3390958085656166,Kodawari Ramen,29 rue Mazarine,880,Kodawari Ramen,4.0,95,123.0
48.867872484749_2.3648982158072,Ober Mamma,107 boulevard Richard Lenoir,158,Ober Mamma,4.5,307,539.0
48.856451985395786_2.334851883351803,Kodawari Ramen,29 rue Mazarine,485,Kodawari Ramen,4.0,95,312.0
48.855907555969_2.3925706744194,Fulgurances l'Adresse,10 rue Alexandre Dumas,236,Fulgurances l'Adresse,4.5,22,386.0
48.855907555969_2.3925706744194,Louie Louie,78 rue de Charonne,693,Louie Louie,4.5,46,932.0
48.840855311763_2.3875549435616,Le Janissaire,22-24 allée Vivaldi,472,Le Janissaire,4.0,83,320.0
48.88287775178599_2.287667370814871,Schwartz's Deli,22 avenue Niel,474,Schwartz's Deli,4.0,55,628.0
48.871044051984_2.3661044619878,Holybelly 5,19 rue Lucien Sampaix,598,Holybelly 19,4.5,300,408.0
48.84389286531899_2.351966388523578,Au P'tit Grec,68 rue Mouffetard,488,Au P'tit Grec,4.5,219,216.0
48.84708159081946_2.321374788880348,Restaurant Plume,24 rue Pierre Leroux,578,Plume,4.5,20,247.0
48.83602224288688_2.4708339950830287,Au Blé d'Or,2 boulevard de Strasbourg,183,Au Blé d'Or,3.0,8,311.0
48.83602224288688_2.4708339950830287,Iedes,45 bis avenue de la Belle Gabrielle,244,Le Jardin d'Agronomie Tropicale,4.0,6,233.0
48.835583838706_2.2325500845909,Pedra Alta,6 avenue du Général Leclerc,748,Pedra Alta,4.0,69,759.0
48.879089_2.354235,Brasserie Bellanger,140 rue du Faubourg Poissonnière,665,Brasserie Bellanger,5.0,21,369.0
48.876116_2.288124,Auberge Dab,161 avenue de Malakoff,828,L'Auberge Dab,3.5,91,351.0
