lat&lon,name_of_business,distance_on_4sq,address
48.865983_2.275725,Noir - Coffee Shop & Torréfacteur,411,32 Rue Gustave Courbet
48.865983_2.275725,Saint-James Club,582,43 avenue Bugeaud
48.865983_2.275725,Béchu,487,118 avenue Victor Hugo
48.865983_2.275725,Restaurant Brach,528,Hôtel Brach
48.865983_2.275725,Joe & The Juice,687,92 avenue Victor Hugo
48.865983_2.275725,Le Flandrin,324,4 place Tattegrain
48.865983_2.275725,Bon,638,25 rue de la Pompe
48.865983_2.275725,Le Paris 16,493,18 rue des Belles Feuilles
48.865983_2.275725,Le Petit Rétro,736,"5 rue Mesnil, 16e"
48.865983_2.275725,Schwartz's,765,7 avenue d'Eylau
48.865983_2.275725,Le Pain Quotidien,220,150 avenue Victor Hugo
48.865983_2.275725,Carette,880,4 place Trocadero et du Onze Novembre 25 place des Vosges
48.865983_2.275725,Maison Russe,759,59 avenue Raymond Poincaré
48.865983_2.275725,Victor,870,"101 bis, rue Lauriston"
48.865983_2.275725,Musée Marmottan Monet,962,2 rue Louis Boilly
48.865983_2.275725,La Suite Girafe,1026,1 place du Trocadéro et du Onze Novembre
48.865983_2.275725,Le Rive Droite,860,80 rue de Passy
48.865983_2.275725,La Petite Marquise,826,3 place Victor Hugo
48.865983_2.275725,Café Lamartine,31,182 avenue Victor Hugo
48.865983_2.275725,Brasserie XVIème Avenue,749,45 avenue Raymond poincare 75116
48.865983_2.275725,Scossa,802,8 place Victor Hugo
48.865983_2.275725,Giulio Rebellato,520,136 rue de la Pompe
48.865983_2.275725,Le Stella,407,133 avenue Victor Hugo
48.865983_2.275725,Alba Ristorante,961,12 avenue Mozart
48.865983_2.275725,Café de l'Homme,986,17 place du Trocadéro et du Onze Novembre 1918
48.865983_2.275725,Maison Sauvage,810,5 place Victor Hugo
48.865983_2.275725,Mokus l'Écureuil,920,116 avenue Kléber
48.865983_2.275725,Café du Trocadéro,859,8 place du Trocadéro et du Onze Novembre 1918
48.865983_2.275725,Le Coq,921,2 place du Trocadéro et du Onze Novembre avenue Kléber
48.865983_2.275725,Hansan,158,192 avenue Victor Hugo
48.865983_2.275725,Ozio,715,29 Bis rue Saint Didier 75116
48.865983_2.275725,Frog XVI,938,110 bis avenue Kléber
48.865983_2.275725,DS Café,805,3 rue de Sontay
48.865983_2.275725,Romeo,822,6 place Victor Hugo
48.865983_2.275725,Le Metropolitan,531,10 place de Mexico
48.865983_2.275725,Corso Kléber,966,79 avenue Kléber
48.865983_2.275725,Café Ducale,773,110 rue Lauriston
48.865983_2.275725,Ciro,485,43 rue de la Pompe
48.865983_2.275725,Coffee Parisien,422,7 rue Gustave Courbet
48.865983_2.275725,Stade Porte de la Muette,519,60 boulevard Lannes
48.865983_2.275725,La Pompadour,354,110 rue de la Tour
48.865983_2.275725,Dino,881,8 Chaussée de la Muette
48.865983_2.275725,Le Poincaré,802,22 avenue Raymond Poincaré rue de Longchamp
48.865983_2.275725,La Rotonde de la Muette,891,"12 Chaussee de la Muette, Paris"
48.865983_2.275725,Musée de l'Homme,969,17 place du Trocadéro et du Onze November 16e
48.865983_2.275725,Honest Lawyer,800,176 rue de la Pompe
48.865983_2.275725,L'aile Ou la Cuisse,484,33 rue Greuze
48.865983_2.275725,Boutique Nespresso Paris Passy,924,1 place de Passy
48.865983_2.275725,Boulangerie Patisserie Coudrier Geffroy,971,77 avenue Kléber
48.865983_2.275725,Di Vino,563,1 place de Mexico
48.85375581057431_2.3390958085656166,La Robe & la Mousse,236,3 rue Monsieur le Prince
48.85375581057431_2.3390958085656166,Kodawari Ramen,123,29 rue Mazarine
48.85375581057431_2.3390958085656166,L'Avant Comptoir du Marché,346,"15 rue Lobineau, 6e"
